Index,country_name,Notes,country_code,ISO3 Alpha-code,Location Type Code,Name,reg_code,reg_name,area_code,area_name,More Developed Regions,Less Developed Regions,Least developed countries,"Less developed regions, excluding least developed countries",HIV/AIDS mortality modelling in WPP 2008 revision,Prevalence rate (%) ,< 1%,1-5%,5-10%,10-20%,> 20%,Max(HIV),Year for max(HIV),Lag = 2007-year(maxHIV),UNAIDS 2006 revision,UNAIDS 2008 revision,Difference (%) base=2006 revision,"with a population of less than 100,000 in 2009"
261,Tonga,,776,TON,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,…,,,,,,,,,,,,No
262,Tuvalu,,798,TUV,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,Yes,No,No,…,,,,,,,,,,,,Yes
263,Wallis and Futuna Islands,,876,WLF,4,Country/Area,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,…,,,,,,,,,,,,Yes
264,AIDS: All countries,f,981,,12,Special groupings,981,AIDS: All countries,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
265,AIDS: More developed regions,g,978,,12,Special groupings,978,AIDS: More developed regions,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
266,AIDS: Less developed regions,h,979,,12,Special groupings,979,AIDS: Less developed regions,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
267,AIDS: Least developed countries,i,980,,12,Special groupings,980,AIDS: Least developed countries,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
268,AIDS: Less than 1 per cent,j,974,,12,Special groupings,974,AIDS: Less than 1 per cent,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
269,AIDS: Between 1 and 5 per cent,k,973,,12,Special groupings,973,AIDS: Between 1 and 5 per cent,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
270,AIDS: Between 5 and 10 per cent,l,972,,12,Special groupings,972,AIDS: Between 5 and 10 per cent,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
271,AIDS: Between 10 and 20 per cent,m,971,,12,Special groupings,971,AIDS: Between 10 and 20 per cent,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
272,AIDS: More than or equal to 20 per cent,n,970,,12,Special groupings,970,AIDS: More than or equal to 20 per cent,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
313,AIDS: African countries,13,975,,12,Special groupings,975,AIDS: African countries,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
319,AIDS: Asian countries,14,976,,12,Special groupings,976,AIDS: Asian countries,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
324,AIDS: European countries,15,982,,12,Special groupings,982,AIDS: European countries,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
336,AIDS: Latin American and Caribbean countries,16,977,,12,Special groupings,977,AIDS: Latin American and Caribbean countries,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
338,AIDS: North American countries,17,983,,12,Special groupings,983,AIDS: North American countries,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
339,AIDS: Oceanian countries,18,984,,12,Special groupings,984,AIDS: Oceanian countries,981,AIDS: All countries,,,,,,,,,,,,,,,,,,
