"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.937798226713851,0.897295262387148,0.831825177711558,0.739367200451155,0.637323568216841,0.53869622712155,0.447765316822185,0.370587781150547,0.305448665920448,0.249069136130418,0.191172804345999
"2",0.9555995161622,0.963867931146297,0.958575320964552,0.93348052632596,0.888729847340571,0.829421265654436,0.759200893259024,0.680720754134331,0.601640291801214,0.529167967110014,0.478538845066726
"3",1,1,0.892684633014988,0.778891455754586,0.671097836305289,0.573742378445169,0.486650105321587,0.409246310528905,0.340410906787214,0.277819242436451,0.207006424593618
"4",1,1,1,1,1,1,0.949396353617529,0.8411115946433,0.721255543255571,0.598492929131729,0.456811823896356
"5",1,1,1,1,0.919263809991743,0.816674529613491,0.713766688107099,0.615234759813739,0.522827728076201,0.44352428832017,0.398712109568458
"6",1,1,0.885525024787696,0.694513162912401,0.534204263124939,0.410792146345211,0.320913693398346,0.254914305485618,0.207075746424349,0.173427227425869,0.13858965249448
"7",1,1,1,1,0.98566818689067,0.863423151315034,0.741100243886074,0.625370160374455,0.520467535254475,0.426190087449442,0.340028588800722
"8",1,0.975720866578467,0.93308527313945,0.87302759554816,0.797547005302097,0.710831293713535,0.627125335994838,0.545850309678786,0.472713564698893,0.410951513750339,0.361216429946827
"9",1,1,1,1,1,1,0.899441303036197,0.761836620481052,0.632528106721867,0.506064969772149,0.376071635393551
"10",1,1,1,1,1,1,0.987929849071608,0.890501607390682,0.790653245540816,0.681094088115123,0.575434555255856
