"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0.941870747241756,0.836211362128149,0.705601852982449,0.571707014539583,0.44859090185802,0.346624673427018,0.265264793726493,0.203448783271597,0.158621428521573,0.130962158180256
"2",0.984500284131874,0.946349542252762,0.879562884165598,0.795820317934205,0.711275021409666,0.627167086141689,0.550634398389278,0.483421297167589,0.427131376522921,0.381903789091317,0.352759305796941
"3",1,0.962621242828548,0.846769231361647,0.713452370022179,0.586021013236417,0.475610317315041,0.386109870543654,0.31545946229387,0.260073926564901,0.215397035829237,0.177754257758427
"4",1,0.952312310753487,0.872373405510691,0.781827982996156,0.687626687100334,0.594738452828015,0.508968856202571,0.432024636875704,0.365580699204658,0.311464916717564,0.272194250162449
"5",1,1,0.983868431257184,0.887348576347603,0.776486525683572,0.662519227709875,0.554887611670645,0.461041686978144,0.383127236269197,0.321049940935384,0.278244376824647
"6",1,1,0.841381516603356,0.638011918169433,0.465590943309803,0.333400605903882,0.237808365300975,0.170590029307231,0.125164861327247,0.095861045976553,0.0806690762166647
"7",1,1,0.99809023500118,0.896788796150895,0.780925129962264,0.660849720152495,0.547608435987527,0.447446968229877,0.362104741507066,0.292497683305778,0.240078110028027
"8",0.994063225408358,0.964263453725823,0.900807741724129,0.808131114176555,0.701541072706491,0.59664273129223,0.502461932080104,0.421182362636672,0.355428201778999,0.305706632846994,0.273021506861114
"9",1,1,0.935105781828899,0.831048020420253,0.718361890543534,0.607330057660552,0.503919284745628,0.413327243762664,0.336462571054293,0.273479175575396,0.222821122529321
"10",1,1,0.991965385377298,0.918123266097927,0.822783474257175,0.718489209991545,0.615050002436316,0.519692288761642,0.436400979430655,0.365113128441508,0.306787849653623
