"","mae1.1","mae1.2","mae1.3","mae1.4","mae1.5","mae1.6","mae1.7","rmse1.1","rmse1.2","rmse1.3","rmse1.4","rmse1.5","rmse1.6","rmse1.7","bic1","param1.1","param1.2","param1.3","param1.4","param1.5","mae2.1","mae2.2","mae2.3","mae2.4","mae2.5","mae2.6","mae2.7","rmse2.1","rmse2.2","rmse2.3","rmse2.4","rmse2.5","rmse2.6","rmse2.7","bic2","param2.1","param2.2","param2.3","param2.4","param2.5"
"1",0.255755744162852,0.21376213665603,0.120158773975389,0.117490694383007,0.043198970608963,0.0455711377265592,0.0576535602094593,0.314710888748823,0.264390963265595,0.124517290933521,0.144207550783723,0.0480805903824626,0.046859481728368,0.0713990089729184,6458.79072402328,0.0713984912574263,0.0787354753011289,0.059526080363675,0.346483977345941,0.873712189564652,0.255755744162852,0.21376213665603,0.120158773975389,0.117490694383007,0.043198970608963,0.0455711377265592,0.0576535602094593,0.314710888748823,0.264390963265595,0.124517290933521,0.144207550783723,0.0480805903824626,0.046859481728368,0.0713990089729184,6458.79072402328,0.0713984912574263,0.0787354753011289,0.059526080363675,0.346483977345941,0.873712189564652
"2",0.249499706225471,0.212958874358832,0.120000860972098,0.112264179622351,0.00693588991397729,0.0191871911728054,0.0426497723137114,0.307129948366827,0.262518484371604,0.124369458586525,0.139596717369236,0.00872179343640428,0.0236694787851537,0.0523846252179358,6197.7255296087,0.0881835902369741,0.124760505971719,0.123987987488917,0.662788967438556,0.302610744455679,0.249499706225471,0.212958874358832,0.120000860972098,0.112264179622351,0.00693588991397729,0.0191871911728054,0.0426497723137114,0.307129948366827,0.262518484371604,0.124369458586525,0.139596717369236,0.00872179343640428,0.0236694787851537,0.0523846252179358,6197.7255296087,0.0881835902369741,0.124760505971719,0.123987987488917,0.662788967438556,0.302610744455679
"3",0.250896588744519,0.213141961512025,0.105771341437624,0.115591078611653,0.0167660968235847,0.0176195021451947,0.0340653825281378,0.30722211607843,0.26247042610703,0.114697095134996,0.144207931887847,0.0174049488883817,0.0185872512356885,0.0415602320024224,6040.78643788103,0.0279115980464654,0.073080702730715,0.129937368508173,0.769059328946114,0.362737202970729,0.250896588744519,0.213141961512025,0.105771341437624,0.115591078611653,0.0167660968235847,0.0176195021451947,0.0340653825281378,0.30722211607843,0.26247042610703,0.114697095134996,0.144207931887847,0.0174049488883817,0.0185872512356885,0.0415602320024224,6040.78643788103,0.0279115980464654,0.073080702730715,0.129937368508173,0.769059328946114,0.362737202970729
"4",0.254143021019466,0.211529356603405,0.120347454931685,0.114666445319683,0.0319043680669236,0.00933549888702683,0.0441182596776919,0.313249867159673,0.263830538572224,0.124659193660119,0.141955553314088,0.0339827164450824,0.0106908132963065,0.0547460338525878,6055.51147612833,0.0624072568987532,0.0651401656803433,0.10127178585696,0.771125752462266,0.380524513883435,0.254143021019466,0.211529356603405,0.12068377653481,0.114666445319683,0.0319043680669236,0.00933549888702683,0.0441182596776919,0.313249867159673,0.263830538572224,0.124933483484327,0.141955553314088,0.0339827164450824,0.0106908132963065,0.0547460338525878,6055.51147612833,0.0624072568987532,0.0651401656803433,0.10127178585696,0.771125752462266,0.380524513883435
"5",0.260843498507967,0.215750976271817,0.120438205619275,0.122103337049796,0.0787039163933866,0.0665391580938898,0.0705327064089853,0.321799165508901,0.269945689286464,0.124800639295112,0.147679854840787,0.0790349970002375,0.0673035963750095,0.0825084965594964,6841.06372333435,0.0777401945824141,0.105742662602244,0.0398834204508438,0.776586452156855,0.275757891577956,0.260843498507967,0.215750976271817,0.12068377653481,0.122103337049796,0.0787039163933866,0.0665391580938898,0.0705327064089853,0.321799165508901,0.269945689286464,0.124933483484327,0.147679854840787,0.0790349970002375,0.0673035963750095,0.0825084965594964,6841.06372333435,0.0777401945824141,0.105742662602244,0.0398834204508438,0.776586452156855,0.275757891577956
"6",0.266239084535968,0.224865435767011,0.120637135908016,0.125099984014319,0.0855595977550533,0.0644807230855352,0.0754177429996391,0.327517791884523,0.278561611384121,0.124968200839352,0.151169829206972,0.0858476629188168,0.0657791273038764,0.0909918744460477,6586.4663960063,0.0876693036176887,0.105451906267751,0.0404561282324234,0.262558710640186,0.67991325823693,0.266239084535968,0.224865435767011,0.120637135908016,0.125099984014319,0.0855595977550533,0.0644807230855352,0.0754177429996391,0.327517791884523,0.278561611384121,0.124968200839352,0.151169829206972,0.0858476629188168,0.0657791273038764,0.0909918744460477,6586.4663960063,0.0876693036176887,0.105451906267751,0.0404561282324234,0.262558710640186,0.67991325823693
"7",0.252142331329769,0.207448026231958,0.12068377653481,0.116147824877247,0.0355481992558857,0.0315489465803537,0.0449550182685763,0.311706319973104,0.258383611490706,0.124933483484327,0.142855939862977,0.0386870848615484,0.0320302589178455,0.0560703841843979,6266.87840981145,0.0535231381115208,0.110947754505273,0.0767290544673481,0.562678276449283,0.425659393326969,0.252142331329769,0.207448026231958,0.12068377653481,0.116147824877247,0.0355481992558857,0.0315489465803537,0.0449550182685763,0.311706319973104,0.258383611490706,0.124933483484327,0.142855939862977,0.0386870848615484,0.0320302589178455,0.0560703841843979,6266.87840981145,0.0535231381115208,0.110947754505273,0.0767290544673481,0.562678276449283,0.425659393326969
"8",0.25395942240483,0.21633999382654,0.120349755468106,0.116676780713749,0.00906742026550402,0.00938391493539508,0.0404317907755171,0.312018089194312,0.267923787284976,0.124693142871835,0.145538552910211,0.0131606836143616,0.0128082187779893,0.0496980884199229,6139.7519797144,0.0291247973315705,0.0392134769943329,0.116654949880781,0.814976966863587,0.521046204433669,0.25395942240483,0.21633999382654,0.106850031978548,0.116676780713749,0.00906742026550402,0.00938391493539508,0.0404317907755171,0.312018089194312,0.267923787284976,0.117482382234604,0.145538552910211,0.0131606836143616,0.0128082187779893,0.0496980884199229,6139.7519797144,0.0291247973315705,0.0392134769943329,0.116654949880781,0.814976966863587,0.521046204433669
"9",0.256690925149118,0.213874772009629,0.120690194353489,0.11820513843667,0.0580241950545437,0.0604596423539574,0.0627116169475466,0.316278999434795,0.265392471677505,0.124944333423081,0.144142647056263,0.0594095474666606,0.0619575048796754,0.0739938163646641,6397.63402384248,0.0203477651059385,0.133052404469581,0.0495470593056537,0.796800046890148,0.340575179857702,0.256690925149118,0.213874772009629,0.120690194353489,0.11820513843667,0.0580241950545437,0.0604596423539574,0.0627116169475466,0.316278999434795,0.265392471677505,0.124944333423081,0.144142647056263,0.0594095474666606,0.0619575048796754,0.0739938163646641,6397.63402384248,0.0203477651059385,0.133052404469581,0.0495470593056537,0.796800046890148,0.340575179857702
"10",0.254334233999126,0.216242529832794,0.12068377653481,0.116489405374031,0.0164002286648354,0.00565427429357181,0.0508502051254872,0.312869687211302,0.269457806214021,0.124933483484327,0.145079980467695,0.0203312869424063,0.0145992401970864,0.0628648529476252,6221.42570248488,0.00453819791649652,0.0816406265141923,0.109034667911669,0.804761736132685,0.375876341125264,0.254334233999126,0.216242529832794,0.109221932908192,0.116489405374031,0.0164002286648354,0.00565427429357181,0.0508502051254872,0.312869687211302,0.269457806214021,0.118473568031386,0.145079980467695,0.0203312869424063,0.0145992401970864,0.0628648529476252,6221.42570248488,0.00453819791649652,0.0816406265141923,0.109034667911669,0.804761736132685,0.375876341125264
