"","V1","V2","V3","V4","V5","V6","V7"
"mean absolute error",0.278429849668631,0.253738180146888,0.12068377653481,0.123872893663692,0.041183411778064,0.0353535767552149,0.0354351479716924
"rooted mean squared error",0.34282387293003,0.316825483795343,0.124933483484327,0.151827519412927,0.0421547620030144,0.0359714238078726,0.036337739507854
