"","value","est","lambda","type"
"117",0.257211540624221,"Pearson","65","MAE"
"118",0.246414008168351,"Pearson","65","MAE"
"119",0.248424477205618,"Pearson","65","MAE"
"120",0.258201595040249,"Pearson","65","MAE"
"121",0.259965780846792,"Pearson","115","MAE"
"122",0.239318165034041,"Pearson","115","MAE"
"123",0.245217468009101,"Pearson","115","MAE"
"124",0.250440461638089,"Pearson","115","MAE"
"125",0.256700425864568,"Pearson","115","MAE"
"126",0.247315246188444,"Pearson","115","MAE"
"127",0.253624044350702,"Pearson","115","MAE"
"128",0.243170914353246,"Pearson","115","MAE"
"129",0.2397179893581,"Pearson","115","MAE"
"130",0.268599194715756,"Pearson","115","MAE"
"131",0.25424589984171,"Pearson","115","MAE"
"132",0.248614985206514,"Pearson","115","MAE"
"133",0.245314083020191,"Pearson","115","MAE"
"134",0.2553549400219,"Pearson","115","MAE"
"135",0.252004734356314,"Pearson","115","MAE"
"136",0.263943109611973,"Pearson","115","MAE"
"137",0.254269129016214,"Pearson","115","MAE"
"138",0.248810127828257,"Pearson","115","MAE"
"139",0.259833765683613,"Pearson","115","MAE"
"140",0.248531236729959,"Pearson","115","MAE"
"141",0.242712519184021,"Pearson","115","MAE"
"142",0.250210279010121,"Pearson","115","MAE"
"143",0.248722234932037,"Pearson","115","MAE"
"144",0.255603889596104,"Pearson","115","MAE"
"145",0.260014841051486,"Pearson","115","MAE"
"146",0.255591450527885,"Pearson","115","MAE"
"147",0.245897218765087,"Pearson","115","MAE"
"148",0.271492763416166,"Pearson","115","MAE"
"149",0.248600362172701,"Pearson","115","MAE"
"150",0.238852431866197,"Pearson","115","MAE"
"151",0.248936995959564,"Pearson","115","MAE"
"152",0.250755723902302,"Pearson","115","MAE"
"153",0.245857996644573,"Pearson","115","MAE"
"154",0.254668652957096,"Pearson","115","MAE"
"155",0.247864306546157,"Pearson","115","MAE"
"156",0.245500640105259,"Pearson","115","MAE"
"157",0.247716064650363,"Pearson","115","MAE"
"158",0.252585407083919,"Pearson","115","MAE"
"159",0.24917496624065,"Pearson","115","MAE"
"160",0.261026312853568,"Pearson","115","MAE"
"161",0.264026741236851,"Pearson","195","MAE"
"162",0.258203890086368,"Pearson","195","MAE"
"163",0.250179010152327,"Pearson","195","MAE"
"164",0.249383677784018,"Pearson","195","MAE"
"165",0.256683030455821,"Pearson","195","MAE"
"166",0.249893180811574,"Pearson","195","MAE"
"167",0.25113778111558,"Pearson","195","MAE"
"168",0.251285117858641,"Pearson","195","MAE"
"169",0.25963398166269,"Pearson","195","MAE"
"170",0.270192687919462,"Pearson","195","MAE"
"171",0.250585376402725,"Pearson","195","MAE"
"172",0.253728667433871,"Pearson","195","MAE"
"173",0.250047842845522,"Pearson","195","MAE"
"174",0.251656079848033,"Pearson","195","MAE"
"175",0.260625834098022,"Pearson","195","MAE"
"176",0.260703326727427,"Pearson","195","MAE"
"177",0.252828432232242,"Pearson","195","MAE"
"178",0.251079205595143,"Pearson","195","MAE"
"179",0.262094613791386,"Pearson","195","MAE"
