"","V1","V2","V3","V4","V5","V6","V7"
"1",1,1,1,1,1,1,1
"2",-0.0141379835530621,-0.0686983082051136,0,-0.00451020848995001,0.130573722164429,0.203508294047411,0.167563996899759
"3",0.474985521322043,0.169057895971077,0,0.162490187523298,0.130616275258845,0.203546164084365,0.248374365471129
"4",-0.201058751056543,-0.0635617109236467,0,-0.0640696508056338,0.130688723704237,0.203611017477388,0.136779788806917
"5",0.61567785517547,0.439800098534439,0,0.27429950721342,0.130806233783789,0.20371611272517,0.271751587472719
"6",0.262649265958338,0.397261517616977,0,0.0894954542445365,0.133163646059407,0.20583450253689,0.215217449736674
"7",0.0402865563162167,-0.0965910454002537,0,0.0166526899815329,0.130573722164429,0.203508294047411,0.176552210035999
"8",-0.0622766222110552,-0.0645199600661327,0,-0.0220494886845755,0.133574840253324,0.206204893478311,0.161865156233114
"9",-0.0894705073831251,-0.194338153815516,0,-0.0288267472243602,0.130573722164429,0.203508294047411,0.155122829723454
"10",-0.133084234892563,-0.389012930781271,0,-0.0485861208622729,0.130573722164429,0.203508294047411,0.147920022130328
"11",0.298844747035239,0.261411605113787,0,0.104947727791738,0.132810176924832,0.205517287554918,0.220930307174393
"12",-0.651472009003235,-0.249070408039993,0,-0.236923750839662,0.130573722164429,0.203508294047411,0.0623082759944076
"13",0.599065266911373,0.361142461541934,0,0.22129756706905,0.217665575853264,0.285475674882095,0.337264983083161
"14",0.197278466444516,0.188454877624661,0,0.070829475423625,0.130767645006106,0.203681640286877,0.202624144202372
"15",-0.0978274810596222,0.0239385063753945,0,-0.0344506987426135,0.138677420401273,0.21079340952611,0.159824653958702
"16",-0.04015350808015,-0.0329446756695433,0,-0.0164479738279492,0.180527000575921,0.24860853439419,0.200919465524387
"17",0.135905640550452,-0.0653724919047569,0,0.0363205571653461,0.134085820012951,0.206663802816926,0.194978079665955
"18",0.499074595397422,0.168006669264971,0,0.151605035454298,0.130878815395366,0.203781111594925,0.252548821871248
"19",-0.783707427080152,-0.5067680800966,0,-0.285872750449949,0.0663988560845043,0.133479715341524,-0.01799375901022
"20",-0.719190239194875,-0.467026156522094,0,-0.231894804110691,0.0640357288243933,0.131355202304643,-0.00911239432737451
"21",0.0375715388599772,-0.153639951709921,0,0.0103963892242879,0.0658676757907346,0.13300216983615,0.117241792081658
"22",-0.12790855294862,-0.210533060356729,0,-0.0325519288854271,0.0639786586812456,0.131304103952845,0.0884951231195339
"23",0.0431401056407619,-0.16607334571561,0,0.0163876338684111,0.0660065806461231,0.133127402261522,0.118265991461809
"24",0.545577220731188,0.447012965771681,0,0.211806699133239,0.13025438420506,0.194466356211979,0.252452308175747
"25",0.0391676387771202,0.063879978615688,0,0.0136165584221975,0.0638342978674255,0.131174910141306,0.11597990084492
"26",0.207649441018695,0.0888551449834014,0,0.0540385437500655,0.063981366464041,0.131306592520732,0.143914607181098
"27",0.247111933010767,0.406611312880609,0,0.0722570258880009,0.0637964197189714,0.13114117632245,0.150293741121422
"28",0.20167546009643,0.222466671020325,0,0.0635772556520125,0.0638006660604157,0.13114494963389,0.142793056836807
"29",-0.282781117010614,-0.218859847884202,0,-0.0762695204508956,0.0638844313769309,0.131219835262343,0.0628475658959668
"30",0.219734754227788,0.268423875692039,0,0.074602167495382,0.0638777480164978,0.131213828479326,0.145833053022211
"31",-0.572642940677735,-0.260070305885629,0,-0.225180643773191,0.0637967490143347,0.13114146755032,0.0149114574298521
"32",-0.49097717329482,-0.147043139908159,0,-0.148129548718955,0.0656961155088139,0.13284676766019,0.0298222293965864
"33",0.010253886500988,0.17286410210023,0,0.00313320019879271,0.0638028716482014,0.131146914119871,0.111181421932587
"34",-0.0458007801138994,-0.0942382575612126,0,-0.0177116417399576,0.063796717288187,0.13114143938864,0.101919422397509
"35",-0.507530724113785,-0.303045331144335,0,-0.170984664316696,0.0640124143353865,0.131334187966003,0.0258256331246232
"36",0.266811126333298,0.176586667024136,0,0.0941557197477161,0.063813667662382,0.131156510314117,0.153559864183553
"37",0.0779494299147848,-0.0387681849177851,0,0.0315488779485509,0.0641775410116588,0.131482068793888,0.122641145201193
"38",-0.361313673049743,-0.577696742149481,0,-0.129579268510563,0.0639565593488275,0.13128416011137,0.0499316144807741
"39",-0.249952731260664,-0.129991040592302,0,-0.0825671622782317,0.0639779885212221,0.13130351931533,0.0683390378314398
"40",-0.349178150154138,-0.245583276914613,0,-0.0878972918782981,0.063798587121292,0.131143097008125,0.0518180300055111
"41",0.275813377352207,-0.0376847457108949,0,0.0797926916998195,0.0637970686743718,0.131141750505615,0.155034263303867
"42",-0.492821545932445,-0.342330226395701,0,-0.141355912014769,0.0637964197189714,0.13114117632245,0.0280937180459779
"43",-0.0752482064574482,-0.154043986732755,0,-0.0227291524199482,0.0637964859788809,0.131141234681161,0.0970560083539544
"44",0.118412408359611,0.249701013148332,0,0.0501649125254532,0.0637964252723195,0.131141181192498,0.129039016673142
"45",-0.0721244180515984,-0.240847509380391,0,-0.0293161608115805,0.0637964824181405,0.13114123149514,0.0975718993073573
"46",0.00658753768739884,-0.161401112635836,0,0.0025747184009072,0.0637964526425722,0.131141205310028,0.110571157871513
"47",-0.365771965160548,-0.214194515743192,0,-0.128335899857714,0.0637964261451157,0.131141181957243,0.0490759625026186
"48",-0.0355978785057505,-0.237295471179693,0,-0.0121302315328204,0.0637964265572487,0.13114118231767,0.103604216484168
"49",0.232008343338758,0.134877633430265,0,0.075142751238986,0.0637970768166903,0.13114175796229,0.147799867988719
"50",-0.416625798665941,-0.486667885803829,0,-0.14280193050539,0.0637966880394036,0.131141413505831,0.0406776445055498
"51",-0.530748614538683,-0.577438727532022,0,-0.167195209688498,0.063808519682387,0.131151939676062,0.0218390479987603
"52",-0.112489800682405,0.02457491544723,0,-0.0300559337960115,0.0638197107713462,0.131161911297511,0.0909228208881437
"53",0.0475931780795137,0.0324657665322162,0,0.0154671070900523,0.063796466840599,0.131141217823943,0.117343250639409
"54",-0.147188885782273,-0.137711930046114,0,-0.0422253193647528,0.0637964229421621,0.131141179145554,0.0851749580853354
"55",0.119960683883141,-0.123744574842638,0,0.0355621141104455,0.0637966285823193,0.131141360542718,0.129294863916078
"56",-0.436552799738119,-0.469085013040775,0,-0.139803686619789,0.0637964197311119,0.131141176332997,0.0373865019010338
"57",0.204845887768732,0.248655341536632,0,0.0884966121957011,0.063796419719774,0.131141176323145,0.14331350290849
"58",-0.202311532433178,-0.369879647577995,0,-0.0860873668716993,0.063796419719774,0.131141176323145,0.0760714497477145
"59",-0.0565112362435093,-0.0158216365167351,0,-0.014328039650865,0.0637964197222723,0.131141176325315,0.100150370935164
"60",-0.488004930840533,-0.359340619922607,0,-0.160320684131186,0.0637964197189714,0.13114117632245,0.0288891821863405
"61",-0.346848262133677,-0.147885559456087,0,-0.131686804868432,0.0637964197229649,0.131141176325916,0.0522012079337297
"62",0.141333862538019,0.182986174955134,0,0.0528241208246911,0.0637964197194704,0.131141176322882,0.132824491259804
"63",0.424902084852483,0.0903373250508997,0,0.124721413871536,0.0637964198668449,0.131141176451546,0.17965578587786
"64",0.483984606066412,0.445755964136776,0,0.17831877028288,0.0637964197197623,0.131141176323135,0.18941326547497
"65",-0.0136749906208482,-0.107194531342887,0,-0.00567145846537013,0.0637964197202559,0.131141176323562,0.107224776813724
"66",-0.1134998670315,-0.162809284480759,0,-0.0471659654983442,0.0637964197284082,0.131141176330654,0.0907386974318798
"67",-0.28175317682816,0.141455568432899,0,-0.0717930160689853,0.0637964229009577,0.131141179113961,0.0629516644570367
"68",-0.194464389614855,0.0323023444568778,0,-0.0855708187771388,0.0637964197323835,0.131141176334104,0.0773674061745094
"69",-0.347758869049018,-0.160470018394703,0,-0.148284600334798,0.0637964197218462,0.131141176324938,0.0520508210276714
"70",-0.0301555044794657,0.0328462176974444,0,-0.011313356376435,0.0637964197189714,0.13114117632245,0.104503020254746
"71",-0.207862011914208,-0.419194639163476,0,-0.0810457414491938,0.0637964197202559,0.131141176323562,0.0751547879857303
"72",0.223973743148317,0.12885692231747,0,0.059672578421739,0.0637964198854261,0.131141176467819,0.14647246849396
"73",-0.098430639655296,-0.219936291341745,0,-0.0342493460440686,0.0637964197189714,0.13114117632245,0.093227380675025
"74",-0.0235209470453902,-0.161759454766026,0,-0.00650670363426553,0.0637964197285254,0.131141176330749,0.105598717522322
"75",-0.0715863529298489,0.163592781287835,0,-0.0258208672755422,0.063796419886084,0.131141176468388,0.097660715411337
"76",-0.574454364836692,-0.0798302205667721,0,-0.209445017716972,0.0637964197371938,0.131141176338288,0.0146120576525766
"77",0.247173430309509,-0.0698505023214348,0,0.102323787900037,0.0637964197189721,0.131141176322451,0.150303896527916
"78",-0.262187761280584,-0.296383672432087,0,-0.0613160582334732,0.0637964197190513,0.131141176322519,0.0661828901793254
"79",0.337928258596208,0.0141370916881628,0,0.10593037231043,0.0637964197189718,0.131141176322451,0.16529205737965
"80",0.519789902021105,0.0938331326022286,0,0.159056619270796,0.063796419719419,0.131141176322837,0.195326509906291
"81",0.0352311989589364,0.0369468607299439,0,0.0110032541572583,0.063796419718977,0.131141176322455,0.115301635167281
"82",0.148438280971182,0.119085998808655,0,0.0510945100433364,0.0637964197198736,0.131141176323231,0.133997785781857
"83",-0.340578557327896,-0.301563126420464,0,-0.132589110518956,0.0637964197189714,0.13114117632245,0.0532366494002979
"84",-0.748093010400065,-0.399371121742371,0,-0.239392771272829,0.0637964197189721,0.131141176322451,-0.0140643669380465
"85",0.0185325750719874,0.0362889341689415,0,0.00694748649684556,0.0637964197190566,0.131141176322524,0.112543856977949
"86",0.181809677717431,0.1200634379692,0,0.0670393356452165,0.0637964197189714,0.13114117632245,0.139509072630104
"87",0.0223441009075004,-0.225624440487062,0,0.00836771944693059,0.0637964197194696,0.131141176322881,0.113173330130511
"88",0.216679353795905,0.100899858038722,0,0.0860922349565424,0.0637964208605085,0.131141177322286,0.145267800446276
"89",0.224141061057943,0.090542732182578,0,0.0733497497487687,0.0637964207551156,0.131141177229914,0.146500101543358
"90",0.308197466040277,0.0101995417189541,0,0.100970519189784,0.0637964197189714,0.13114117632245,0.160382016765432
"91",-0.0685949081260374,-0.0868794316731941,0,-0.0207353676301722,0.0637964197189714,0.13114117632245,0.0981547520074621
"92",-0.0185026154155523,0.000373968668382738,0,-0.00688042715623742,0.0637964207158832,0.131141177195895,0.10642749583756
"93",0.83646969299163,0.470113836616323,0,0.241067573249497,0.0637964793947456,0.131141228921991,0.247626225041464
"94",-0.166265382547679,-0.214443102769814,0,-0.0589197593951926,0.0638021241644471,0.131146250491541,0.0820287084558163
"95",-0.0412982468324499,0.00471597034189534,0,-0.0124708406924773,0.0637972217360439,0.131141886658298,0.102663389508713
"96",0.41488526308885,0.241678662841697,0,0.131547677937364,0.0637964269728452,0.131141182689085,0.178001513109729
"97",-0.10528249416465,-0.145075779101882,0,-0.0458160085448492,0.0637969252672329,0.131141623951658,0.092096170479657
"98",-0.440475508679781,-0.367968367943797,0,-0.186924791283326,0.0638034982764045,0.131147473965708,0.0367439243928674
"99",0.0367819550545904,0.0474420191646898,0,0.0140639344706904,0.063796422505127,0.131141178765532,0.115557744498764
"100",-0.0902164850918522,-0.0336154493254215,0,-0.0303660652284697,0.0637964227470474,0.131141178978876,0.0945839506124768
"101",-0.181009190270692,-0.268862836475285,0,-0.0685705263428418,0.0637964585721691,0.131141210570677,0.0795895606992051
"102",0.45210313434497,0.347062866900833,0,0.170821921999506,0.063796805937094,0.131141518056089,0.18414832509275
"103",0.38570382704327,0.0225351957075468,0,0.108985546113574,0.063796438278984,0.131141192665069,0.173182206749448
"104",-0.0419898656057762,-0.019709447493514,0,-0.0149506043241317,0.063796422505127,0.131141178765532,0.102548577407592
"105",-0.338604398810675,-0.438553070622353,0,-0.118986708370287,0.0637964227470474,0.131141178978876,0.0535626836071124
"106",0.00453186921306398,0.0278547000451645,0,0.00148296925388098,0.0637964197217513,0.131141176324862,0.110231640386653
"107",0.131696727295941,0.157382047066291,0,0.0551925327849444,0.0637964204780817,0.131141176987774,0.131232918684758
"108",0.305902738805111,0.0310153838922213,0,0.108737150613074,0.0637964197191247,0.131141176322583,0.160003042800401
"109",-0.411349550118985,-0.0999651233519189,0,-0.149479284707255,0.0637964197232354,0.131141176326151,0.0415488195173987
"110",0.353916275590113,0.311727353165587,0,0.0930585288998949,0.0637964197212366,0.131141176324415,0.167932479230429
"111",-0.163591096056206,-0.109433563861227,0,-0.0584352516894942,0.0637964197220054,0.131141176325084,0.0824661308853573
"112",-0.576753575117854,-0.391117749194984,0,-0.198855576635104,0.0637964197555006,0.131141176354313,0.0142323426361805
"113",-0.0507061579539666,-0.161418886538505,0,-0.0171975867534799,0.0637964197877761,0.131141176382456,0.101109079328998
"114",-0.0964042938584554,-0.232699880052575,0,-0.0371870997434154,0.0637964197194378,0.131141176322853,0.0935620318341638
"115",-0.321254657572,-0.239542418745112,0,-0.0981731694868182,0.0637964197228549,0.131141176325821,0.0564279916674185
