"","V1","V2","V3","V4","V5","V6","V7"
"mean absolute error",0.279695378016765,0.252511381620726,0.276063552876891,0.220163428345791,0.130489610612757,0.0516667960105794,0.0702095342554267
"rooted mean squared error",0.351587350584884,0.319159680813647,0.280647330597877,0.257066049969555,0.133336350535271,0.0575862758754783,0.0856961131807127
