"","value","est","lambda","type"
"109",0.170829076920563,"Pearson","1","MAE"
"110",0.109685729013042,"Pearson","1","MAE"
"111",0.213141961512026,"LW","0","MAE"
"112",0.2076179568247,"LW","0","MAE"
"113",0.215108507316573,"LW","0","MAE"
"114",0.208738766490386,"LW","0","MAE"
"115",0.219561896344818,"LW","0","MAE"
"116",0.207381947787919,"LW","0","MAE"
"117",0.206379879593121,"LW","0","MAE"
"118",0.217433581748815,"LW","0","MAE"
"119",0.206175893670265,"LW","0","MAE"
"120",0.218190058722421,"LW","0","MAE"
"121",0.215209696962664,"LW","0.1","MAE"
"122",0.227165530572737,"LW","0.1","MAE"
"123",0.224329160806549,"LW","0.1","MAE"
"124",0.209516788457639,"LW","0.1","MAE"
"125",0.215516086364139,"LW","0.1","MAE"
"126",0.209477489087107,"LW","0.1","MAE"
"127",0.211988053497532,"LW","0.1","MAE"
"128",0.260351648044797,"LW","0.1","MAE"
"129",0.213540082727068,"LW","0.1","MAE"
"130",0.218123335551249,"LW","0.1","MAE"
"131",0.209866268509114,"LW","0.2","MAE"
"132",0.208375215085918,"LW","0.2","MAE"
"133",0.234218817659487,"LW","0.2","MAE"
"134",0.20776744922548,"LW","0.2","MAE"
"135",0.228494124108869,"LW","0.2","MAE"
"136",0.216109183699976,"LW","0.2","MAE"
"137",0.220524126101216,"LW","0.2","MAE"
"138",0.23223502266331,"LW","0.2","MAE"
"139",0.209841524070105,"LW","0.2","MAE"
"140",0.220625304481239,"LW","0.2","MAE"
"141",0.223997243675852,"LW","0.3","MAE"
"142",0.208534133162633,"LW","0.3","MAE"
"143",0.198658854826033,"LW","0.3","MAE"
"144",0.237535265934194,"LW","0.3","MAE"
"145",0.229789222734536,"LW","0.3","MAE"
"146",0.207859135504275,"LW","0.3","MAE"
"147",0.216649042669715,"LW","0.3","MAE"
"148",0.213795427509738,"LW","0.3","MAE"
"149",0.211655878555359,"LW","0.3","MAE"
"150",0.212688700509478,"LW","0.3","MAE"
"151",0.231756279831719,"LW","0.4","MAE"
"152",0.220852917815107,"LW","0.4","MAE"
"153",0.239786601508401,"LW","0.4","MAE"
"154",0.232428215581755,"LW","0.4","MAE"
"155",0.225178664746029,"LW","0.4","MAE"
"156",0.20956772006064,"LW","0.4","MAE"
"157",0.209690221851448,"LW","0.4","MAE"
"158",0.208662992910254,"LW","0.4","MAE"
"159",0.250592999768558,"LW","0.4","MAE"
"160",0.247461091199585,"LW","0.4","MAE"
"161",0.225286676370081,"LW","0.5","MAE"
"162",0.195465198134453,"LW","0.5","MAE"
"163",0.240003333701579,"LW","0.5","MAE"
"164",0.232401106783623,"LW","0.5","MAE"
"165",0.262874936293679,"LW","0.5","MAE"
"166",0.223021594254944,"LW","0.5","MAE"
"167",0.236035843700831,"LW","0.5","MAE"
"168",0.188388851342746,"LW","0.5","MAE"
"169",0.202903342670173,"LW","0.5","MAE"
"170",0.234102019855265,"LW","0.5","MAE"
"171",0.193717049918672,"LW","0.6","MAE"
"172",0.250356179250295,"LW","0.6","MAE"
"173",0.24946298455875,"LW","0.6","MAE"
"174",0.177751207285708,"LW","0.6","MAE"
"175",0.187536469416977,"LW","0.6","MAE"
"176",0.213716095398061,"LW","0.6","MAE"
"177",0.25148250775178,"LW","0.6","MAE"
"178",0.209701681977679,"LW","0.6","MAE"
"179",0.239555008465647,"LW","0.6","MAE"
"180",0.201432250220765,"LW","0.6","MAE"
"181",0.241063048073563,"LW","0.7","MAE"
"182",0.199109627758627,"LW","0.7","MAE"
"183",0.217093242119268,"LW","0.7","MAE"
"184",0.193390225277743,"LW","0.7","MAE"
"185",0.18449271196841,"LW","0.7","MAE"
"186",0.242938377840244,"LW","0.7","MAE"
"187",0.174592340390598,"LW","0.7","MAE"
"188",0.195568193453209,"LW","0.7","MAE"
"189",0.214274746558366,"LW","0.7","MAE"
"190",0.202435687189527,"LW","0.7","MAE"
"191",0.172532201695634,"LW","0.8","MAE"
"192",0.1500174186436,"LW","0.8","MAE"
"193",0.161086202647589,"LW","0.8","MAE"
"194",0.126061266293497,"LW","0.8","MAE"
"195",0.13638643970308,"LW","0.8","MAE"
"196",0.184503418943998,"LW","0.8","MAE"
"197",0.248684198756781,"LW","0.8","MAE"
"198",0.233059974863466,"LW","0.8","MAE"
"199",0.186947074906672,"LW","0.8","MAE"
"200",0.172993441044669,"LW","0.8","MAE"
"201",0.16236492723056,"LW","0.9","MAE"
"202",0.24110687503094,"LW","0.9","MAE"
"203",0.240198488739824,"LW","0.9","MAE"
"204",0.443090348845081,"LW","0.9","MAE"
"205",0.289119612639408,"LW","0.9","MAE"
"206",0.142496127450563,"LW","0.9","MAE"
"207",0.192967293786845,"LW","0.9","MAE"
"208",0.125151990346206,"LW","0.9","MAE"
"209",0.233220035564083,"LW","0.9","MAE"
"210",0.195589004125885,"LW","0.9","MAE"
"211",0.261523767417063,"LW","1","MAE"
"212",0.159430441090153,"LW","1","MAE"
"213",0.190433634669758,"LW","1","MAE"
"214",0.0906524224769015,"LW","1","MAE"
"215",0.158234611219235,"LW","1","MAE"
"216",0.285408755559314,"LW","1","MAE"
"217",0.145769074804277,"LW","1","MAE"
"218",0.283240409117881,"LW","1","MAE"
"219",0.170716760423577,"LW","1","MAE"
"220",0.10962335879196,"LW","1","MAE"
"221",0.105771341437624,"Sparse","0","MAE"
"222",0.12068377653481,"Sparse","0","MAE"
"223",0.0976661962811157,"Sparse","0","MAE"
"224",0.117347392344619,"Sparse","0","MAE"
"225",0.120378081058759,"Sparse","0","MAE"
"226",0.12068377653481,"Sparse","0","MAE"
"227",0.120361962166048,"Sparse","0","MAE"
"228",0.119968146038966,"Sparse","0","MAE"
"229",0.12068377653481,"Sparse","0","MAE"
"230",0.12068377653481,"Sparse","0","MAE"
"231",0.140684280744211,"Sparse","0.1","MAE"
"232",0.140356030512701,"Sparse","0.1","MAE"
"233",0.141310783496714,"Sparse","0.1","MAE"
"234",0.140630902509064,"Sparse","0.1","MAE"
"235",0.141310783496714,"Sparse","0.1","MAE"
"236",0.140113731114588,"Sparse","0.1","MAE"
"237",0.141114559488853,"Sparse","0.1","MAE"
"238",0.119061383671422,"Sparse","0.1","MAE"
"239",0.140885489332768,"Sparse","0.1","MAE"
"240",0.141037496499144,"Sparse","0.1","MAE"
"241",0.129156798839116,"Sparse","0.2","MAE"
"242",0.117101220413331,"Sparse","0.2","MAE"
"243",0.126856849764779,"Sparse","0.2","MAE"
"244",0.161937790458618,"Sparse","0.2","MAE"
"245",0.161937790458618,"Sparse","0.2","MAE"
"246",0.161111276332948,"Sparse","0.2","MAE"
"247",0.160683143700723,"Sparse","0.2","MAE"
"248",0.16180466815944,"Sparse","0.2","MAE"
"249",0.127259775605472,"Sparse","0.2","MAE"
"250",0.153642030897815,"Sparse","0.2","MAE"
"251",0.168212151759397,"Sparse","0.3","MAE"
"252",0.182564797420521,"Sparse","0.3","MAE"
"253",0.143550911240205,"Sparse","0.3","MAE"
"254",0.136761872885008,"Sparse","0.3","MAE"
"255",0.144042100430929,"Sparse","0.3","MAE"
"256",0.181464629619573,"Sparse","0.3","MAE"
"257",0.128908996714969,"Sparse","0.3","MAE"
"258",0.153871628675429,"Sparse","0.3","MAE"
"259",0.13175769540832,"Sparse","0.3","MAE"
"260",0.181856655427849,"Sparse","0.3","MAE"
"261",0.18806610015366,"Sparse","0.4","MAE"
"262",0.160541328657076,"Sparse","0.4","MAE"
"263",0.155609651861821,"Sparse","0.4","MAE"
"264",0.189065453015722,"Sparse","0.4","MAE"
"265",0.1893630344598,"Sparse","0.4","MAE"
"266",0.173574569324514,"Sparse","0.4","MAE"
"267",0.177068623721162,"Sparse","0.4","MAE"
"268",0.130684927804037,"Sparse","0.4","MAE"
"269",0.198126413356489,"Sparse","0.4","MAE"
