"","mae1.1","mae1.2","mae1.3","mae1.4","mae1.5","mae1.6","mae1.7","rmse1.1","rmse1.2","rmse1.3","rmse1.4","rmse1.5","rmse1.6","rmse1.7","bic1","param1.1","param1.2","param1.3","param1.4","param1.5","mae2.1","mae2.2","mae2.3","mae2.4","mae2.5","mae2.6","mae2.7","rmse2.1","rmse2.2","rmse2.3","rmse2.4","rmse2.5","rmse2.6","rmse2.7","bic2","param2.1","param2.2","param2.3","param2.4","param2.5","param2.6","param2.7","param2.8"
"1",0.260443323339864,0.228411748650749,0.120494054127796,0.115891084792311,0.0219362078504781,0.290401781631149,0.147880378405337,0.31966145075049,0.280867792314088,0.124811717843398,0.14410988995332,0.0241594057226989,0.291406170759809,0.175583870747889,4856.0350924506,0.0225089631591203,0.0604572683920348,0.406656105523716,0.509783271649061,0.347485212196635,0.260443323339864,0.253422676923154,0.12068377653481,0.115891084792311,0.0219368875397404,0.290284747922397,0.147826406973119,0.31966145075049,0.310445462900567,0.124933483484327,0.14410988995332,0.02422202238152,0.291294259179801,0.17553729799569,4861.81558492442,0.0199161644201825,0.059669643465386,0.406688785885448,0.361668165716455,0.00960167468635894,0.138534141439047,0.00387834260567359,0.425136546629472
"2",0.256495280690947,0.221112399066004,0.102421018084839,0.1125884415401,0.036192367371468,0.343256460834278,0.137728274749223,0.313978970199156,0.273282164396951,0.119874876374504,0.139276112078485,0.0405498197425502,0.344330516479973,0.169439707319748,4638.00964859183,0.029554359618491,0.0634328178778027,0.459218255679509,0.446968545581298,0.293620808556986,0.256495280690947,0.24816727543981,0.12068377653481,0.1125884415401,0.0361911336183415,0.343860707311776,0.137697283455069,0.313978970199156,0.304281166480832,0.124933483484327,0.139276112078485,0.0405147251393382,0.344946818923716,0.169473911231537,4644.56790998509,0.0278037085732147,0.0626272094501843,0.460026494567255,0.254706705323852,0.000254571983472506,0.105987044595096,0.0885742875748077,0.361134535751927
"3",0.257909263983676,0.217301687774365,0.12068377653481,0.117038758671608,0.0581886664231101,0.196235503251249,0.114318338062987,0.316967763759712,0.268270952021133,0.124933483484327,0.143843618168021,0.0598585627998868,0.19697934334243,0.133485335852401,5185.33123422259,0.037139986924608,0.0602403907619959,0.310568158074988,0.358868587885582,0.454114799603744,0.257909263983676,0.2453352979837,0.120630011319431,0.117038758671608,0.0581864133003784,0.197986684826175,0.114598757908338,0.316967763759712,0.302140309386866,0.124896683174877,0.143843618168021,0.0599098257595801,0.198833411556726,0.134104974247859,5183.56589644907,0.0288896187119845,0.0564794238587657,0.31333144800975,4.02270205869163e-05,1.61789534240306e-06,0.394439881305345,0.206817783197715,0.59215848862077
"4",0.253164610475774,0.220567714472703,0.119133773217061,0.113725320646037,0.0500642748764366,0.316597339935564,0.130936233535335,0.311115353649506,0.271524013130489,0.123807427110385,0.142079448054089,0.0516710550193405,0.317712423206064,0.16003150374855,4759.00712969452,0.0468925709001334,0.0336491941298194,0.431923027889269,0.487499067825172,0.425580849515566,0.253164610475774,0.243230134119163,0.119133773217061,0.113725320646037,0.0500642748764365,0.316638939640234,0.130907813512735,0.311115353649506,0.299697077581632,0.123807427110385,0.142079448054089,0.0516773626281206,0.317756836081359,0.160015935147757,4765.80669770186,0.0467329932166048,0.0323481530769593,0.432062709418653,0.352173966210499,0.000142873335517999,0.00183928018863287,0.134697386651754,0.446600828016997
"5",0.255350014809783,0.219857755933472,0.12068377653481,0.115993955334577,0.0319358797440387,0.26408909430789,0.140373054306139,0.313379529943131,0.27187645708988,0.124933483484327,0.144084246969911,0.0347466601338734,0.26512310221794,0.164735538397116,4974.98421359416,0.0195528136543176,0.0613677822745507,0.380725104711091,0.535911715014247,0.252776551688283,0.255350014809783,0.244566392525215,0.12068377653481,0.115993955334577,0.0320575401924226,0.264095828073423,0.140318589934106,0.313379529943131,0.300162620542876,0.124933483484327,0.144084246969911,0.0350141825466885,0.265129609679363,0.164702757215919,4982.17492193408,0.0195741446311928,0.0613702780195274,0.380730049035457,0.538292059108507,1.07500085354498e-06,2.72037390302904e-05,1.1936997889279e-06,0.251764894062848
"6",0.251753387084304,0.211008567434781,0.12023699171148,0.115004936436244,0.0240760471406162,0.177484876634058,0.133310349870856,0.310928783908248,0.264382062346548,0.124570590500933,0.142735756289131,0.0294550593048299,0.178352013486823,0.143688290990611,5237.86246020527,0.0287665011407372,0.0487528916219216,0.289522559810668,0.146001782158932,0.94727443432837,0.251753387084304,0.242031308753372,0.12023699171148,0.115004936436244,0.024126956900695,0.176437307339262,0.133470057050253,0.310928783908248,0.299148028592489,0.124570590500933,0.142735756289131,0.0303066972836906,0.177775704178839,0.143963453425102,5254.28679195719,3.05853827936463e-06,0.0442078981925752,0.290609358324978,0.141548229215613,0.021699911930512,0.000109778217467701,0.0122894842598052,0.95549787101643
"7",0.262720131904596,0.231795489193657,0.119004379311488,0.114344602888779,0.0320468801529063,0.257312553800314,0.1373546154706,0.321906055172101,0.284955068146294,0.123563893908288,0.141242008078089,0.0355372084258316,0.25826165352512,0.163722499731554,4996.7902022376,0.0434784670585368,0.0523862426293062,0.372190776084736,0.46177629729021,0.266151284733053,0.262720131904596,0.255018951333258,0.119004379311488,0.114344602888779,0.0320285133612285,0.256921875423104,0.137274522877874,0.321906055172101,0.31320890690358,0.123563893908288,0.141242008078089,0.0354872783466939,0.257869109745025,0.163604783899025,5003.96015113702,0.0435786949169036,0.0525357552884491,0.371797811103723,0.480472865177328,1.06952488217501e-05,8.87121485412788e-05,0.0494259599581361,0.237071180516422
"8",0.259992448167079,0.231010307665783,0.12068377653481,0.109818853941948,0.0177948734702792,0.249524358911414,0.169298431544723,0.316796267494891,0.281237773734446,0.124933483484327,0.137128931997226,0.018188561982606,0.250667552150237,0.188039605444634,5032.62685705624,0.01300456797681,0.0459039997819241,0.367007196465011,0.57178211152795,0.390955297876542,0.259992448167079,0.253703577150899,0.119459673872239,0.109818853941948,0.0180837854515934,0.250032060061658,0.169274159895888,0.316796267494891,0.309191429088237,0.123930812461096,0.137128931997226,0.0185007468284935,0.251204965972697,0.188180571497808,5038.78469955072,0.0115760172211256,0.0415067702926974,0.36779986918211,0.206272099398353,7.99093263399475e-05,0.0617221338729201,0.215753362885345,0.536894066145872
"9",0.256091486941441,0.213848776159542,0.120420058180515,0.117232542202585,0.068898819278125,0.289111976492553,0.117946936119908,0.31490073547959,0.26735672777152,0.124714313479683,0.144474918005844,0.0700325864898586,0.290066541917369,0.145577159347365,4860.4545606949,0.0337994546742198,0.059528945538662,0.404518447018718,0.50205657994113,0.297984402141878,0.256091486941441,0.244864243113973,0.12068377653481,0.117232542202585,0.06889524422903,0.289489898643515,0.117973557956638,0.31490073547959,0.302008426937458,0.124933483484327,0.144474918005844,0.0706137433513302,0.290458923600416,0.145640667265684,4862.05078398503,0.0332213541160424,0.056839697484931,0.405145336497825,1.30039204254199e-05,1.6503476834365e-06,0.000364402968327318,0.504414486622052,0.36110580747699
"10",0.265234027179117,0.229169155062658,0.120350324546651,0.124675464583172,0.0490426342196342,0.249089379660138,0.125802980552743,0.327306301792551,0.283503420806646,0.124994799769535,0.15299670750834,0.0507222046172235,0.2498617664484,0.152173024709915,4967.45077633602,0.0370228936483676,0.0906178912855213,0.362621798342119,0.485929230484843,0.151691956117243,0.265234027179117,0.256050947051329,0.120350324546651,0.124675464583172,0.0490426342196343,0.249308545456752,0.125803240951972,0.327306301792551,0.316295917798598,0.124994799769535,0.15299670750834,0.050742689570625,0.250089455101558,0.15222104338267,4974.27946611566,0.034892920066554,0.0890800095410898,0.363037679288797,0.476180771942794,0.0101664726722188,0.00262831175901049,0.0141536111826194,0.145201321075413
