"","V1","V2","V3","V4","V5","V6"
"1",1,1,1,1,1,1
"2",0.0509387423987668,0.0642516850954877,0,0.0117554495599157,0.154641668924886,0.171192124062115
"3",-0.251416855352166,0.0544669862769153,0,-0.048825132755727,0.158558018977024,0.176365520476367
"4",0.309374798147971,0.304315528786424,0,0.0392724908519775,0.159585512670645,0.177408754234434
"5",0.00816219544278399,0.0580751305308431,0,0.000939681607452825,0.162278922567864,0.180399855554628
"6",0.5132556447168,0.411020898486696,0,0.105327261162787,0.177431521628388,0.194963168421932
"7",-0.288891743035296,-0.303431252963903,0,-0.0698135346922527,0.154641668924886,0.171192124062115
"8",-0.402140677177039,-0.36199810998711,0,-0.0423851047268905,0.178071087429567,0.195392566398616
"9",-0.285902148364365,-0.470926884241899,0,-0.0516821394962106,0.154641668924886,0.171192124062115
"10",-0.0210896263843998,-0.0420076778930892,0,-0.00366381865496325,0.154641668924886,0.171192124062115
"11",-0.395094069051084,-0.416710574197336,0,-0.077197378729015,0.175002209472593,0.192916658941957
"12",-0.347018475635992,-0.392891458446219,0,-0.0815951528222847,0.154641668924886,0.171192124062115
"13",0.463104784457184,0.408914953801757,0,0.062631518726417,0.356593515963929,0.330430661185613
"14",-0.413875840637268,-0.406155925702589,0,-0.0925394691857242,0.160954389325162,0.178842462108475
"15",0.717954196008659,0.648912441226876,0,0.0735986903455048,0.203080507958171,0.218463321951404
"16",-0.116293128759458,-0.207328578462275,0,-0.024184034990499,0.261463623997814,0.265939156128457
"17",-0.457530479809976,-0.428582058805445,0,-0.0920213726049583,0.183216786696027,0.200900847458654
"18",0.0231072910536835,-0.0370619085778749,0,0.00417857561998163,0.163701844962927,0.182119984859928
"19",-0.788315324755606,-0.704761237783775,0,-0.114893379431859,0.0854715689461726,0.0940745522975033
"20",-0.411527749226878,-0.411677639284291,0,-0.041592287437813,0.0716537976343741,0.0806581290173665
"21",0.0617258723474344,0.02811430465593,0,0.013559117304543,0.0821784478735309,0.0907736119822475
"22",0.159882738591167,0.151160487202105,0,0.0311905199499021,0.0707416241843785,0.0796969006168673
"23",-0.0183718282046021,-0.0821063356986748,0,-0.00332734658487312,0.0816504144795333,0.0899719988482909
"24",0.656036254341182,0.607937576766027,0,0.0118434823921614,0.239317386555671,0.21040569903267
"25",-0.709554696128665,-0.651108499037676,0,-0.0733612509519009,0.067907117607576,0.0765158543282436
"26",0.224881956576403,0.259491470186701,0,0.0501006022901758,0.0701552438425519,0.0789047746787133
"27",-0.471270790219227,-0.379718501912934,0,-0.0771768905339734,0.0650976501617297,0.0728630223651755
"28",-0.363144851535481,-0.348178236013079,0,-0.0609869875283466,0.0658414704732327,0.0739706229873608
"29",-0.653931283023906,-0.529799602080512,0,-0.127414669561859,0.068118403519604,0.0765709144848573
"30",-0.47178159327185,-0.406622222913343,0,-0.101391702309428,0.068414337448223,0.0770359191089543
"31",-0.165017934551919,-0.163061024582529,0,-0.0395856549975507,0.065300544611349,0.0732092844066326
"32",0.233728749386072,0.218231633682323,0,0.0370428655062249,0.0846540577017151,0.0937796702606156
"33",-0.25068999104734,-0.159851861080275,0,-0.0619478157232712,0.0659250837829125,0.0740384973944117
"34",-0.312008039491561,-0.296500098374634,0,-0.0595025621794168,0.0653065746813034,0.0732247802462777
"35",-0.174987309064956,-0.140544061122346,0,-0.042934932450431,0.0730811940823142,0.0827145949238851
"36",0.250700263721,0.146173309575049,0,0.0314487433167019,0.0674293550068334,0.076133517192016
"37",-0.220014786410732,-0.229998017153387,0,-0.0384353057408315,0.0751271475288591,0.0847358971890134
"38",-0.375873757274283,-0.4812388496145,0,-0.0842893280037157,0.0726180897925888,0.0823575491955187
"39",0.683887326580403,0.578161764935614,0,0.091677398404416,0.0709715536393575,0.0801084051809701
"40",-0.00667108453879648,-0.0214154066835448,0,-0.00102988441996496,0.0657313849351258,0.0738349618999198
"41",-0.693935336687476,-0.572869712690309,0,-0.12426070747765,0.0654389824703043,0.0734334100911746
"42",-0.570892899233046,-0.489196276714467,0,-0.109937671089352,0.0650976501617297,0.0728630223651755
"43",-0.849480840058066,-0.682504374094816,0,-0.178238606056091,0.0652182244244343,0.073095626456989
"44",0.181661973660597,0.165003652868527,0,0.0346712374915288,0.0651278343901565,0.0729286179380401
"45",-0.5389228318613,-0.454322438629244,0,-0.0895704334342121,0.0652248774895137,0.0731046862948523
"46",-0.152894279144797,-0.0953229855758849,0,-0.0151951919768017,0.0651751047771222,0.0730211118518592
"47",-0.23337662999273,-0.240237252039376,0,-0.046087439050624,0.0651353357673615,0.0729460132717436
"48",-0.48218827970748,-0.510096822185554,0,-0.107843933438615,0.0651397132935709,0.0729558183671716
"49",-0.254668812380052,-0.226338353525886,0,-0.0553251787272035,0.0654141288255397,0.0733939324603957
"50",-0.648613569209267,-0.528883447120354,0,-0.110848288328841,0.0652977514167428,0.0732153926654011
"51",-0.835891195730719,-0.74516280269371,0,-0.104724588650404,0.0665474683876979,0.074904272812126
"52",-0.212133770935925,-0.18197429794928,0,-0.0253770303387992,0.0671749887862404,0.0756649814265915
"53",-0.121379701544752,-0.111349529642017,0,-0.0212205229579307,0.0651880453222379,0.0730408753663306
"54",0.0413687532451409,-0.0223323342779713,0,0.00503760797227704,0.0651258760781248,0.0729282002967558
"55",-0.721731779305995,-0.619104263745909,0,-0.139552759713976,0.0653087131056408,0.0732335996111981
"56",0.0355906829217207,0.059111085922593,0,0.00789581178284949,0.0650984705282026,0.0728653852027755
"57",0.168644204293468,0.31778466584276,0,0.0318267258036884,0.0650978098486995,0.0728635373877038
"58",-0.16255834784844,-0.29416210200146,0,-0.0329855468079766,0.0650978098486995,0.0728635373877038
"59",-0.259765370856616,-0.284143879388427,0,-0.053396117217224,0.0650979638500063,0.0728639695128853
"60",-0.208353286013874,-0.302693703145026,0,-0.0455245563945448,0.0650976501617297,0.0728630223651755
"61",0.0477841149429827,-0.00431850255710956,0,0.00941543949757005,0.0650980007730753,0.0728640631012564
"62",0.108866915060352,0.0193349405799433,0,0.0220408434590009,0.0650977773574035,0.0728634397789373
"63",0.646576481804089,0.584973207118273,0,0.0244854774980227,0.0651001277450423,0.0728690464951411
"64",0.110086616979461,0.140615160744572,0,0.0224994661575236,0.0650978026212647,0.0728635196561953
"65",-0.0198471392751102,0.0242307909215931,0,-0.00289266431670236,0.0650978717288415,0.072863724953278
"66",-0.113746322677356,-0.169189098007837,0,-0.0251875103602124,0.0650981655314958,0.0728644882643467
"67",-0.0546877356420137,-0.00567617002215724,0,-0.0107333684524452,0.065111851958027,0.0728925925929251
"68",0.117688111527516,0.321368320025752,0,0.0250198179336445,0.0650984621749077,0.0728653096495662
"69",-0.344170074308821,-0.273309149230848,0,-0.0894119393821582,0.0650981190425279,0.0728644591924529
"70",-0.274851654077636,-0.227029726820362,0,-0.0465578436584715,0.0650976501617297,0.0728630223651755
"71",-0.38570250236563,-0.374152700889386,0,-0.0806173931961093,0.0650978717288415,0.072863724953278
"72",-0.357145272268136,-0.359396159728188,0,-0.0615324695382031,0.0651000746685294,0.0728688025880808
"73",-0.668295872465991,-0.430573268592371,0,-0.139561401128948,0.0650976501617297,0.0728630223651755
"74",-0.287128489949224,-0.247763324651403,0,-0.0345387518237037,0.0650983148322547,0.0728649280716151
"75",-0.481660031514616,-0.414491176894488,0,-0.0921504845099807,0.0651001591933382,0.0728690410926344
"76",-0.059066176797395,0.115474545946511,0,-0.0108488562167543,0.0650986182862955,0.0728656838387003
"77",-0.555119698767195,-0.509671072156293,0,-0.121292021864295,0.0650976560114749,0.0728630507769988
"78",-0.366956154531005,-0.36724614902293,0,-0.0452005687924323,0.0650977173180101,0.072863277449133
